sample,cell type
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 004hr, biol_rep2.CNhs11563.3660-171B4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 004hr, biol_rep3.CNhs11651.3735-172E4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 006hr, biol_rep1.CNhs11486.3589-170C4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 006hr, biol_rep2.CNhs11564.3661-171C4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 006hr, biol_rep3.CNhs11652.3736-172F4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 012hr, biol_rep1.CNhs11487.3590-170D4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 012hr, biol_rep2.CNhs11565.3662-171D4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 012hr, biol_rep3.CNhs11653.3737-172G4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 024hr, biol_rep1.CNhs11488.3591-170E4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 024hr, biol_rep2.CNhs11566.3663-171E4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 024hr, biol_rep3.CNhs11654.3738-172H4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 024hr, biol_rep4.CNhs14345.3970-173G4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 028hr, biol_rep1.CNhs11489.3592-170F4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 028hr, biol_rep2.CNhs11567.3664-171F4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 028hr, biol_rep3.CNhs14254.3739-172I4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 036hr, biol_rep1.CNhs11490.3593-170G4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 036hr, biol_rep2.CNhs11568.3665-171G4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 036hr, biol_rep3.CNhs14255.3740-172A5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 048hr, biol_rep1.CNhs11491.3594-170H4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 048hr, biol_rep2.CNhs11569.3666-171H4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 048hr, biol_rep3.CNhs14256.3741-172B5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 072hr, biol_rep1.CNhs11492.3595-170I4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 072hr, biol_rep2.CNhs11570.3667-171I4",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 072hr, biol_rep3.CNhs14257.3742-172C5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 120hr, biol_rep1.CNhs11493.3596-170A5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 120hr, biol_rep2.CNhs11571.3668-171A5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IL-4/IL-13(aaMph), without Mtb, 120hr, biol_rep3.CNhs14258.3743-172D5",macrophage - alternatively activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11512.3612-170H6",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11587.3684-171H6",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14352.3977-173E5",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11513.3613-170I6",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11588.3685-171I6",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14353.3978-173F5",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11514.3614-170A7",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11614.3686-171A7",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14354.3979-173G5",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11515.3615-170B7",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11615.3687-171B7",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14355.3980-173H5",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11516.3616-170C7",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11616.3688-171C7",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14356.3981-173I5",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 002hr, biol_rep1.CNhs11464.3567-170H1",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 002hr, biol_rep2.CNhs11539.3639-171H1",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 002hr, biol_rep3.CNhs11638.3714-172B2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 004hr, biol_rep1.CNhs11465.3568-170I1",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 004hr, biol_rep2.CNhs11540.3640-171I1",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 004hr, biol_rep3.CNhs11639.3715-172C2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 006hr, biol_rep1.CNhs11466.3569-170A2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 006hr, biol_rep2.CNhs11541.3641-171A2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 006hr, biol_rep3.CNhs11640.3716-172D2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 012hr, biol_rep1.CNhs11467.3570-170B2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 012hr, biol_rep2.CNhs11542.3642-171B2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 012hr, biol_rep3.CNhs11641.3717-172E2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 024hr, biol_rep1.CNhs11468.3571-170C2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 024hr, biol_rep2.CNhs11543.3643-171C2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 024hr, biol_rep3 .CNhs11642.3718-172F2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 024hr, biol_rep4.CNhs14343.3968-173E4",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 028hr, biol_rep1.CNhs11469.3572-170D2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 028hr, biol_rep2.CNhs11547.3644-171D2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 028hr, biol_rep3.CNhs11643.3719-172G2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 036hr, biol_rep1.CNhs11470.3573-170E2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 036hr, biol_rep2.CNhs11548.3645-171E2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 036hr, biol_rep3.CNhs14302.3720-172H2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 048hr, biol_rep1.CNhs11471.3574-170F2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 048hr, biol_rep2.CNhs11549.3646-171F2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 048hr, biol_rep3.CNhs14303.3721-172I2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 072hr, biol_rep2.CNhs11550.3647-171G2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 072hr, biol_rep3.CNhs14304.3722-172A3",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 120hr, biol_rep1.CNhs11473.3576-170H2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 120hr, biol_rep2.CNhs11551.3648-171H2",macrophage - classically activated
"macrophage, TB infection, stimulated BMDM+IFNg(caMph), without Mtb, 120hr, biol_rep3.CNhs14305.3723-172B3",macrophage - classically activated
"mammary gland, adult lactating day02.CNhs10480.595-22B6",mammary gland
"mammary gland, adult pregnant day19.CNhs10476.588-5H2",mammary gland
"medulla oblongata, adult.CNhs10477.17-12C2",medulla oblongata
"medulla oblongata, neonate N30.CNhs11200.1396-42A3",medulla oblongata
"Mouse Meningeal cells, donor1.CNhs12132.11716-123C6",meningeal cell
"Mouse Meningeal cells, donor2.CNhs12358.11734-123E6",meningeal cell
"Mouse Meningeal cells, donor3.CNhs12109.11639-122D1",meningeal cell
"Mouse Mesenchymal stem cells - bone marrow derived, donor1.CNhs12628.11717-123C7",mesenchymal stem cell of the bone marrow
"Mouse Mesenchymal stem cells - bone marrow derived, donor2.CNhs12633.11735-123E7",mesenchymal stem cell of the bone marrow
"Mouse Mesenchymal stem cells - bone marrow derived, donor3.CNhs12616.11640-122D2",mesenchymal stem cell of the bone marrow
"Mesoderm, embryo E8.5.CNhs14148.11947-126B3",mesoderm
"Mouse Microglia, donor1.CNhs12629.11718-123C8",microglia
"Mouse Microglia, donor2.CNhs12634.11736-123E8",microglia
"natural helper cells, IL2 treated, day15, biol_rep1, tech_rep1.CNhs12576.12247-129H6",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep1, tech_rep2.CNhs14330.12247-129H6",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep1, tech_rep3.CNhs14378.12247-129H6",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep2, tech_rep1.CNhs12508.12248-129H7",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep2, tech_rep2.CNhs14334.12248-129H7",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep2, tech_rep3.CNhs14388.12248-129H7",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep3, tech_rep1.CNhs12509.12249-129H8",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep3, tech_rep2.CNhs14335.12249-129H8",natural helper cell
"natural helper cells, IL2 treated, day15, biol_rep3, tech_rep3.CNhs14389.12249-129H8",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep1, tech_rep1.CNhs12579.12253-129I3",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep1, tech_rep2.CNhs14332.12253-129I3",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep1, tech_rep3.CNhs14383.12253-129I3",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep2, tech_rep2.CNhs14338.12254-129I4",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep2, tech_rep3.CNhs14384.12254-129I4",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep3, tech_rep2.CNhs14339.12255-129I5",natural helper cell
"natural helper cells, IL33 treated, 01hr, biol_rep3, tech_rep3.CNhs14380.12255-129I5",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep1, tech_rep2.CNhs14336.12250-129H9",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep1, tech_rep3.CNhs14386.12250-129H9",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep2, tech_rep2.CNhs14337.12251-129I1",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep2, tech_rep3.CNhs14385.12251-129I1",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep3, tech_rep1.CNhs12578.12252-129I2",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep3, tech_rep2.CNhs14331.12252-129I2",natural helper cell
"natural helper cells, IL33 treated, day02, biol_rep3, tech_rep3.CNhs14379.12252-129I2",natural helper cell
"natural helper cells, naive, biol_rep1, tech_rep2.CNhs14340.12256-129I6",natural helper cell
"natural helper cells, naive, biol_rep1, tech_rep3.CNhs14381.12256-129I6",natural helper cell
"natural helper cells, naive, biol_rep2, tech_rep1.CNhs12515.12257-129I7",natural helper cell
"natural helper cells, naive, biol_rep2, tech_rep2.CNhs14341.12257-129I7",natural helper cell
"natural helper cells, naive, biol_rep2, tech_rep3.CNhs14382.12257-129I7",natural helper cell
"natural helper cells, naive, biol_rep3, tech_rep1.CNhs12580.12258-129I8",natural helper cell
"natural helper cells, naive, biol_rep3, tech_rep2.CNhs14333.12258-129I8",natural helper cell
"natural helper cells, naive, biol_rep3, tech_rep3.CNhs14387.12258-129I8",natural helper cell
"Mouse Neurons - cortical, donor1.CNhs12025.11724-123D5",neuron - cortical
"Mouse Neurons - cortical, donor2.CNhs11947.11742-123F5",neuron - cortical
"Mouse Neurons - cortical, donor3.CNhs12112.11647-122D9",neuron - cortical
"Mouse Neurons - dorsal spinal cord, donor2.CNhs12635.11738-123F1",neuron - dorsal spinal cord
"Mouse Neurons - dorsal spinal cord, donor3.CNhs12618.11643-122D5",neuron - dorsal spinal cord
"Mouse Neurons - hippocampal, donor1.CNhs12133.11721-123D2",neuron - hippocampal
"Mouse Neurons - hippocampal, donor2.CNhs12359.11739-123F2",neuron - hippocampal
"Mouse Neurons - hippocampal, donor3.CNhs12110.11644-122D6",neuron - hippocampal
"Mouse Neurons - raphe, donor1.CNhs12631.11722-123D3",neuron - raphe
"Mouse Neurons - raphe, donor2.CNhs12636.11740-123F3",neuron - raphe
"Mouse Neurons - raphe, donor3.CNhs12619.11645-122D7",neuron - raphe
"Mouse Neurons - striatal, donor1.CNhs12134.11723-123D4",neuron - striatal
"Mouse Neurons - striatal, donor2.CNhs12360.11741-123F4",neuron - striatal
"Mouse Neurons - striatal, donor3.CNhs12111.11646-122D8",neuron - striatal
"Mouse Neurons - substantia nigra, donor4, tech_rep1.CNhs12612.11489-119E4",neuron - substantia nigra
"Mouse Neurons - substantia nigra, donor4, tech_rep2.CNhs12821.11489-119E4",neuron - substantia nigra
"Mouse Neurons - substantia nigra, donor5.CNhs12614.11490-119E5",neuron - substantia nigra
"Mouse Neurons - substantia nigra, donor6.CNhs12643.11770-123I6",neuron - substantia nigra
"Mouse Neurons - ventral spinal cord, donor1.CNhs12632.11725-123D6",neuron - ventral spinal cord
"Mouse Neurons - ventral spinal cord, donor2.CNhs12638.11743-123F6",neuron - ventral spinal cord
"Mouse Neurons - ventral spinal cord, donor3.CNhs12113.11648-122E1",neuron - ventral spinal cord
"Neurons - substantia nigra, donor5, tech_rep2.CNhs12923.11490-119E5",neuron of substantia nigra
"olfactory brain, adult.CNhs10489.18-22I9",olfactory brain
"osteoclast, bone marrow derived.CNhs14137.2379-69A1",osteoclast
"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day06, biol_rep1 (144hB1).CNhs11940.12337-130I6",osteocyte
"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day06, biol_rep2 (144hB2).CNhs13274.12459-132E2",osteocyte
"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day06, biol_rep3 (144hB3).CNhs13323.12581-133I7",osteocyte
"ovary, adult.CNhs10507.91-2I7",ovary
"ovary, embryo E18.CNhs11040.505-44H7",ovary
"ovary, neonate N00.CNhs11217.1299-22I4",ovary
"oviduct, adult pregnant day01.CNhs10500.988-6G6",oviduct
"pancreas, adult.CNhs10486.34-16E4",pancreas
"pancreas, embryo E14.CNhs11012.405-44F4",pancreas
"pancreas, embryo E15.CNhs11042.1556-45F2",pancreas
"pancreas, embryo E16.CNhs11003.460-26E5",pancreas
"pancreas, embryo E17.CNhs10599.1558-45G3",pancreas
"pancreas, embryo E18.CNhs10580.1535-43I7",pancreas
"pancreas, neonate N00.CNhs11105.645-26G9",pancreas
"pancreas, neonate N01.CNhs11138.1531-43D7",pancreas
"pancreas, neonate N02.CNhs11139.1539-43D8",pancreas
"pancreas, neonate N16.CNhs11136.787-43B6",pancreas
"pancreas, neonate N25.CNhs11094.1555-45E2",pancreas
"pancreas, neonate N30.CNhs11182.1548-44H5",pancreas
"neurospheres - parasympathetic neuron derived, biol_rep1.CNhs13084.11807-124D7",parasympathetic neuron
"neurospheres - parasympathetic neuron derived, biol_rep2.CNhs13085.11808-124D8",parasympathetic neuron
"neurospheres - parasympathetic neuron derived, biol_rep3.CNhs13086.11809-124D9",parasympathetic neuron
"pituitary gland, adult.CNhs10493.21-1G8",pituitary gland
"pituitary gland, embryo E12.CNhs11018.346-16E6",pituitary gland
"pituitary gland, embryo E13.CNhs11009.370-44C7",pituitary gland
"pituitary gland, embryo E14.CNhs11037.398-44A5",pituitary gland
"pituitary gland, embryo E15.CNhs10592.427-16B9",pituitary gland
"pituitary gland, embryo E16.CNhs11036.449-43F6",pituitary gland
"pituitary gland, embryo E17.CNhs11039.1265-44F5",pituitary gland
"pituitary gland, neonate N00.CNhs11190.1308-22E9",pituitary gland
"placenta, adult pregnant day10.CNhs10472.539-13I7",placenta
"placenta, adult pregnant day17.CNhs10464.577-18G3",placenta
"prostate, adult.CNhs10470.859-1F8",prostate
"Mouse Schwann, donor1.CNhs12507.11728-123D9",schwann cell
"Mouse Schwann, donor2.CNhs12573.11746-123F9",schwann cell
"muscle (biceps femoris), neonate N30.CNhs11129.1389-42C2",skeletal muscle
"skin, adult.CNhs10492.30-1C3",skin
"skin, neonate N00.CNhs11124.650-25G4",skin
"skin, neonate N03.CNhs11215.662-22H3",skin
"skin, neonate N06.CNhs11097.693-20I5",skin
"skin, neonate N10.CNhs11108.762-6C4",skin
"small intestine, neonate N16.CNhs11114.790-21I1",small intestine
"spinal cord, adult.CNhs10505.24-13C9",spinal cord
"Neurons - spiral ganglion, pool1.CNhs14147.11959-126C6",spiral ganglion neuron
"spleen, adult.CNhs10465.25-2G2",spleen
"spleen, embryo E16.CNhs11035.461-43C1",spleen
"spleen, embryo E18.CNhs11011.1271-21F2",spleen
"spleen, neonate N10.CNhs11116.752-24D1",spleen
"spleen, neonate N20.CNhs11112.824-19H1",spleen
"spleen, neonate N25.CNhs11099.1354-25G3",spleen
"stomach, adult.CNhs10503.33-1H6",stomach
"stomach, embryo E12.CNhs10588.356-43E3",stomach
"stomach, embryo E15.CNhs10603.1252-16G8",stomach
"stomach, embryo E16.CNhs11022.459-17D4",stomach
"stomach, embryo E17.CNhs11006.1035-18D5",stomach
"stomach, embryo E18.CNhs10999.1286-20C6",stomach
"stomach, neonate N03.CNhs11193.1340-24B8",stomach
"stomach, neonate N07.CNhs11210.718-18A9",stomach
"stomach, neonate N25.CNhs11104.1355-25E4",stomach
"stomach, neonate N30.CNhs11134.1386-42I1",stomach
"submandibular gland, adult.CNhs10469.59-29C1",submandibular gland
"neurospheres - sympathetic neuron derived, biol_rep1.CNhs13081.11804-124D4",sympathetic neuron
"neurospheres - sympathetic neuron derived, biol_rep2.CNhs13082.11805-124D5",sympathetic neuron
"neurospheres - sympathetic neuron derived, biol_rep3.CNhs13083.11806-124D6",sympathetic neuron
"testis, adult.CNhs10504.57-7G5",testis
"testis, embryo E13.CNhs11031.389-23F5",testis
"testis, embryo E15.CNhs11034.443-27C5",testis
"testis, embryo E16.CNhs11033.470-26G5",testis
"testis, embryo E17.CNhs11029.486-18I5",testis
"testis, embryo E18.CNhs11027.503-18G5",testis
"testis, neonate N00.CNhs11189.1300-22B7",testis
"testis, neonate N07.CNhs11222.726-26I4",testis
"testis, neonate N10.CNhs11204.763-44D9",testis
"testis, neonate N20.CNhs11110.839-18H3",testis
"testis, neonate N30.CNhs11130.1391-42E2",testis
"thymus, adult.CNhs10471.38-12B5",thymus
"thymus, embryo E14.CNhs11041.402-44I4",thymus
"thymus, embryo E15.CNhs11005.430-45I2",thymus
"thymus, embryo E16.CNhs11002.456-26C5",thymus
"thymus, embryo E17.CNhs10581.478-18C1",thymus
"thymus, embryo E18.CNhs10595.1273-19G4",thymus
"thymus, neonate N02.CNhs11181.1541-43F8",thymus
"thymus, neonate N03.CNhs11137.2104-43C7",thymus
"thymus, neonate N06.CNhs11197.681-26C4",thymus
"thymus, neonate N07.CNhs11211.713-19D3",thymus
"thymus, neonate N10.CNhs11194.748-24E4",thymus
"thymus, neonate N20.CNhs11186.820-7A2",thymus
"thymus, neonate N25.CNhs11125.1362-25G7",thymus
"thymus, neonate N30.CNhs11132.1393-42G2",thymus
"tongue, adult.CNhs10499.32-1B4",tongue
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 000hr, biol_rep1.CNhs13739.13367-143G1",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 000hr, biol_rep2.CNhs13740.13368-143G2",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 000hr, biol_rep3.CNhs13741.13369-143G3",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 004hr, biol_rep1.CNhs13742.13370-143G4",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 004hr, biol_rep2.CNhs13743.13371-143G5",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 004hr, biol_rep3.CNhs13744.13372-143G6",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 008hr, biol_rep1.CNhs13745.13373-143G7",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 008hr, biol_rep2.CNhs13746.13374-143G8",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 008hr, biol_rep3.CNhs13747.13375-143G9",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 012hr, biol_rep1.CNhs13696.13376-143H1",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 012hr, biol_rep2.CNhs13748.13377-143H2",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 012hr, biol_rep3.CNhs13749.13378-143H3",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 016hr, biol_rep1.CNhs13750.13379-143H4",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 016hr, biol_rep2.CNhs13751.13380-143H5",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 016hr, biol_rep3.CNhs13752.13381-143H6",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 020hr, biol_rep1.CNhs13697.13382-143H7",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 020hr, biol_rep2.CNhs13753.13383-143H8",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 020hr, biol_rep3.CNhs13754.13384-143H9",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 024hr, biol_rep1.CNhs13755.13385-143I1",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 024hr, biol_rep2.CNhs13756.13386-143I2",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 024hr, biol_rep3.CNhs13757.13387-143I3",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 030hr, biol_rep1.CNhs13758.13388-143I4",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 030hr, biol_rep2.CNhs13759.13389-143I5",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 030hr, biol_rep3.CNhs13760.13390-143I6",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 036hr, biol_rep1.CNhs13762.13391-143I7",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 036hr, biol_rep2.CNhs13763.13392-143I8",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 036hr, biol_rep3.CNhs13764.13393-143I9",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 042hr, biol_rep1.CNhs13765.13394-144A1",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 042hr, biol_rep2.CNhs13766.13395-144A2",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 042hr, biol_rep3.CNhs13767.13396-144A3",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 048hr, biol_rep1.CNhs13768.13397-144A4",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 048hr, biol_rep2.CNhs13769.13398-144A5",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 048hr, biol_rep3.CNhs13770.13399-144A6",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 054hr, biol_rep1.CNhs13771.13400-144A7",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 054hr, biol_rep2.CNhs13772.13401-144A8",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 054hr, biol_rep3.CNhs13773.13402-144A9",tracheal epithelial cell
"Tracheal epithelial cells, differentiation to ciliated epithelial cells, 060hr, biol_rep1.CNhs13774.13403-144B1",tracheal epithelial cell
